"","SEQN","Schooling"
"1234",1234,5
"1235",1235,NA
"1236",1236,2
"1237",1237,4
"1238",1238,NA
"1239",1239,5
"1240",1240,NA
"1241",1241,NA
"1242",1242,3
"1243",1243,4
"1244",1244,2
"1245",1245,5
"1246",1246,3
"1247",1247,NA
"1248",1248,NA
"1249",1249,NA
"1250",1250,NA
"1251",1251,2
"1252",1252,3
"1253",1253,5
"1254",1254,NA
"1255",1255,4
"1256",1256,NA
"1257",1257,5
"1258",1258,NA
"1259",1259,NA
"1260",1260,5
"1261",1261,NA
"1262",1262,3
"1263",1263,2
"1264",1264,4
"1265",1265,NA
"1266",1266,NA
"1267",1267,3
"1268",1268,1
"1269",1269,NA
"1270",1270,5
"1271",1271,NA
"1272",1272,NA
"1273",1273,1
"1274",1274,5
"1275",1275,NA
"1276",1276,4
"1277",1277,NA
"1278",1278,1
"1279",1279,4
"1280",1280,4
"1281",1281,2
"1282",1282,4
"1283",1283,3
"1284",1284,5
"1285",1285,4
"1286",1286,NA
"1287",1287,NA
"1288",1288,1
"1289",1289,NA
"1290",1290,2
"1291",1291,NA
"1292",1292,3
"1293",1293,NA
"1294",1294,NA
"1295",1295,3
"1296",1296,4
"1297",1297,1
"1298",1298,NA
"1299",1299,3
"1300",1300,NA
"1301",1301,5
"1302",1302,NA
"1303",1303,NA
"1304",1304,NA
"1305",1305,1
"1306",1306,2
"1307",1307,2
"1308",1308,NA
"1309",1309,3
"1310",1310,NA
"1311",1311,NA
"1312",1312,4
"1313",1313,NA
"1314",1314,NA
"1315",1315,4
"1316",1316,1
"1317",1317,NA
"1318",1318,NA
"1319",1319,NA
"1320",1320,NA
"1321",1321,NA
"1322",1322,2
"1323",1323,NA
"1324",1324,NA
"1325",1325,2
"1326",1326,NA
"1327",1327,NA
"1328",1328,5
"1329",1329,3
"1330",1330,NA
"1331",1331,1
"1332",1332,1
"1333",1333,2
"1334",1334,NA
"1335",1335,NA
"1336",1336,5
"1337",1337,NA
"1338",1338,NA
"1339",1339,2
"1340",1340,NA
"1341",1341,NA
"1342",1342,1
"1343",1343,3
"1344",1344,NA
"1345",1345,NA
"1346",1346,3
"1347",1347,NA
"1348",1348,NA
"1349",1349,NA
"1350",1350,NA
"1351",1351,3
"1352",1352,3
"1353",1353,1
"1354",1354,NA
"1355",1355,NA
"1356",1356,1
"1357",1357,2
"1358",1358,2
"1359",1359,NA
"1360",1360,NA
"1361",1361,NA
"1362",1362,3
"1363",1363,NA
"1364",1364,2
"1365",1365,1
"1366",1366,3
"1367",1367,NA
"1368",1368,3
"1369",1369,NA
"1370",1370,NA
"1371",1371,NA
"1372",1372,3
"1373",1373,NA
"1374",1374,1
"1375",1375,NA
"1376",1376,NA
"1377",1377,NA
"1378",1378,2
"1379",1379,3
"1380",1380,NA
"1381",1381,NA
"1382",1382,2
"1383",1383,5
"1384",1384,1
"1385",1385,2
"1386",1386,1
"1387",1387,3
"1388",1388,5
"1389",1389,NA
"1390",1390,NA
"1391",1391,5
"1392",1392,1
"1393",1393,2
"1394",1394,3
"1395",1395,NA
"1396",1396,NA
"1397",1397,1
"1398",1398,4
"1399",1399,NA
"1400",1400,4
"1401",1401,NA
"1402",1402,NA
"1403",1403,NA
"1404",1404,NA
"1405",1405,3
"1406",1406,NA
"1407",1407,1
"1408",1408,NA
"1409",1409,2
"1410",1410,3
"1411",1411,3
"1412",1412,2
"1413",1413,NA
"1414",1414,NA
"1415",1415,NA
"1416",1416,3
"1417",1417,3
"1418",1418,NA
"1419",1419,4
"1420",1420,NA
"1421",1421,NA
"1422",1422,NA
"1423",1423,4
"1424",1424,4
"1425",1425,NA
"1426",1426,NA
"1427",1427,NA
"1428",1428,5
"1429",1429,2
"1430",1430,1
"1431",1431,5
"1432",1432,NA
"1433",1433,4
"1434",1434,NA
"1435",1435,NA
"1436",1436,1
"1437",1437,NA
"1438",1438,3
"1439",1439,3
"1440",1440,NA
"1441",1441,5
"1442",1442,1
"1443",1443,5
"1444",1444,NA
"1445",1445,3
"1446",1446,NA
"1447",1447,3
"1448",1448,3
"1449",1449,5
"1450",1450,NA
"1451",1451,NA
"1452",1452,NA
"1453",1453,4
"1454",1454,NA
"1455",1455,2
"1456",1456,NA
"1457",1457,NA
"1458",1458,4
"1459",1459,NA
"1460",1460,NA
"1461",1461,2
"1462",1462,2
"1463",1463,3
"1464",1464,1
"1465",1465,1
"1466",1466,NA
"1467",1467,4
"1468",1468,NA
"1469",1469,1
"1470",1470,5
"1471",1471,NA
"1472",1472,4
"1473",1473,1
"1474",1474,NA
"1475",1475,3
"1476",1476,NA
"1477",1477,5
"1478",1478,1
"1479",1479,NA
"1480",1480,2
"1481",1481,2
"1482",1482,5
"1483",1483,NA
"1484",1484,NA
"1485",1485,NA
"1486",1486,3
"1487",1487,4
"1488",1488,4
"1489",1489,3
